rank,station_uuid,name,brand,city,post_code,fuel,fuel_label,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,noon_price_eur_l,span_cents,first_markdown_hour_after_12,markdown_by_14_cents,markdown_by_16_cents,markdown_by_18_cents,markdown_by_22_cents,cycle_days
9757,178aa378-282b-4bf2-b855-7e46d2532057,Ulf Koberstein,Shell,Pönitz,23684,e10,E10,59.864,30.497,82.093,67.003,2.179,9.0,1.0,4.0,5.0,9.0,11.0,1
9757,9ba54770-2bec-47df-9923-2edb540f9393,"bft-Tankstelle Förster, Ober-Mörlen",bft,Ober-Mörlen,61239,e10,E10,59.864,30.497,82.093,67.003,2.179,9.0,1.0,4.0,6.0,9.0,9.0,1
9760,1b80332a-c52a-4e0b-b99f-a5f9635b4764,WINHOERING - NEUOETTINGER STR.,AGIP ENI,Winhoering,84543,e5,E5,59.855,47.441,95.331,36.793,2.229,5.0,2.0,1.0,2.0,2.0,2.0,1
9760,2f8baf42-e5d1-4cff-a3bc-753b8608a30f,DOBERLUG-KIRCHHAIN - BAHNHOFSALLEE,AGIP ENI,Doberlug-Kirchhain,03253,e5,E5,59.855,47.441,95.331,36.793,2.229,5.0,2.0,1.0,2.0,2.0,3.0,1
9760,4dc0d76a-b4d5-440f-984f-9672a768ea39,Sb Haldensleben Industriestraße 2,SB,Haldensleben,39340,e5,E5,59.855,47.441,95.331,36.793,2.229,5.0,2.0,1.0,2.0,2.0,2.0,1
9763,04a19224-09e9-47fb-a3b5-863aa944203a,Walther Tankstelle,bft - Walther,Neuhaus,98724,e5,E5,59.851,87.345,6.978,85.229,2.189,15.0,1.0,7.0,10.0,14.0,14.0,1
9764,51d4b47a-a095-1aa0-e100-80009459e03a,JET FUERTH WUERZBURGER STR. 33,JET,FUERTH,90766,e10,E10,59.846,83.156,61.535,34.847,2.139,11.0,4.0,0.0,8.0,12.0,12.0,1
9765,f7ac36f9-4397-11ec-8abb-005056a27fa7,CLASSIC Bünde,CLASSIC,Bünde,32257,e5,E5,59.845,81.829,49.52,48.187,2.199,12.0,2.0,1.0,3.0,8.0,10.0,1
9766,51d4b5f6-a095-1aa0-e100-80009459e03a,JET HAMM HEESSENER STR. 104,JET,HAMM,59077,e10,E10,59.836,83.156,32.78,63.571,2.139,13.0,2.0,4.0,8.0,12.0,14.0,1
9766,51d4b69d-a095-1aa0-e100-80009459e03a,JET WERL HAMMER STR. 121,JET,WERL,59457,e10,E10,59.836,83.156,32.78,63.571,2.139,13.0,2.0,6.0,9.0,12.0,14.0,1
9766,51d4b6da-a095-1aa0-e100-80009459e03a,JET WEINHEIM GRUNDELBACHSTR. 16-18,JET,WEINHEIM,69469,e10,E10,59.836,83.156,32.78,63.571,2.139,13.0,2.0,2.0,9.0,12.0,12.0,1
9766,51d4b6f5-a095-1aa0-e100-80009459e03a,JET WEINHEIM PAPPELALLEE 26,JET,WEINHEIM,69469,e10,E10,59.836,83.156,32.78,63.571,2.139,13.0,2.0,2.0,9.0,12.0,12.0,1
9766,785e4075-4463-40b4-b7f3-5f069dd52197,JET HUTTHURM GOLDENER STEIG 57,JET,HUTTHURM,94116,e10,E10,59.836,83.156,32.78,63.571,2.139,13.0,2.0,3.0,10.0,12.0,13.0,1
9766,ce241717-4e1e-1edb-86c6-440ba12082b6,JET GUENZBURG LOCHFELBENSTR. 39,JET,GUENZBURG,89312,e10,E10,59.836,83.156,32.78,63.571,2.139,13.0,2.0,3.0,10.0,12.0,12.0,1
9772,4b05ce7b-4d45-4215-871b-5f6acb18dfea,Niederkassel-Ranzel,Mundorf Tank,Niederkassel-Ranzel,53859,e10,E10,59.83,76.243,82.093,21.155,2.149,9.0,3.0,0.0,1.0,3.0,4.0,1
