rank,station_uuid,name,brand,city,post_code,fuel,fuel_label,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,noon_price_eur_l,span_cents,first_markdown_hour_after_12,markdown_by_14_cents,markdown_by_16_cents,markdown_by_18_cents,markdown_by_22_cents,cycle_days
1,bc731b7d-a3e8-44c0-8c03-0732fca60554,Tankstelle Huddelbusch,bft,Bad Pyrmont,31812,e5,E5,90.505,92.815,91.682,87.018,2.16,7.0,1.0,15.0,15.0,15.0,15.0,1
2,7a5496dd-4710-4dc2-84e2-7a803cea2799,Pelleter GmbH,Bft,Rastatt,76437,diesel,Diesel,90.441,91.1,97.359,82.864,2.189,4.0,1.0,15.0,15.0,15.0,15.0,1
3,7a5496dd-4710-4dc2-84e2-7a803cea2799,Pelleter GmbH,Bft,Rastatt,76437,e10,E10,89.273,83.156,97.769,86.894,2.139,3.0,1.0,15.0,15.0,15.0,15.0,1
4,7a5496dd-4710-4dc2-84e2-7a803cea2799,Pelleter GmbH,Bft,Rastatt,76437,e5,E5,88.858,81.829,97.726,87.018,2.199,3.0,1.0,15.0,15.0,15.0,15.0,1
5,fc0236ed-fef0-42c4-a4f2-088741bc435f,Q1 Tankstelle,Q1,Schwarzenberg,08340,diesel,Diesel,88.621,85.165,97.834,82.864,2.214,3.0,1.0,15.0,15.0,15.0,15.0,1
6,7b6d25da-46b6-4060-afe0-30f822d67c34,Tankstelle Meurer,Meurer Freie Tankstelle,Alpen,46519,diesel,Diesel,88.373,86.449,95.807,82.864,2.209,5.0,1.0,6.0,12.0,15.0,15.0,1
7,b7a1071e-04e9-456e-88fc-23056d082de3,RAN Station,RAN,Ochsenhausen,88416,e10,E10,88.172,83.156,96.269,85.092,2.139,4.0,1.0,14.0,14.0,14.0,14.0,1
8,7e693db7-2dbe-4cb0-a5ce-5eb19dcc9ab0,RAN Station,RAN,Weingarten,88250,e5,E5,88.15,92.166,97.069,75.215,2.169,4.0,1.0,11.0,11.0,11.0,11.0,1
9,7f0e4d9f-120c-454f-b8bc-b48ed6a9f1fa,TS Altenkirchen,A Energie,Altenkirchen,57610,e10,E10,88.088,83.156,91.881,89.227,2.139,7.0,1.0,18.0,18.0,18.0,18.0,1
9,8d7ce9eb-ff7c-4a99-97ba-64bcbc6c71db,TS Weyersbusch,A Energie,Weyerbusch,57635,e10,E10,88.088,83.156,91.881,89.227,2.139,7.0,1.0,18.0,18.0,18.0,18.0,1
11,bc731b7d-a3e8-44c0-8c03-0732fca60554,Tankstelle Huddelbusch,bft,Bad Pyrmont,31812,diesel,Diesel,87.888,95.881,91.696,76.088,2.149,7.0,1.0,13.0,13.0,13.0,13.0,1
12,b7a1071e-04e9-456e-88fc-23056d082de3,RAN Station,RAN,Ochsenhausen,88416,e5,E5,87.718,81.829,96.096,85.229,2.199,4.0,1.0,14.0,14.0,14.0,14.0,1
13,7f0e4d9f-120c-454f-b8bc-b48ed6a9f1fa,TS Altenkirchen,A Energie,Altenkirchen,57610,e5,E5,87.606,81.829,91.682,89.306,2.199,7.0,1.0,18.0,18.0,18.0,18.0,1
13,8d7ce9eb-ff7c-4a99-97ba-64bcbc6c71db,TS Weyersbusch,A Energie,Weyerbusch,57635,e5,E5,87.606,81.829,91.682,89.306,2.199,7.0,1.0,18.0,18.0,18.0,18.0,1
15,8d7ce9eb-ff7c-4a99-97ba-64bcbc6c71db,TS Weyersbusch,A Energie,Weyerbusch,57635,diesel,Diesel,87.563,92.466,90.559,79.665,2.179,8.0,1.0,13.0,13.0,14.0,15.0,1
16,ed6f7afb-4b5c-4c38-90b6-6f04e58b2124,Dittus Brennstoffe oHG,Tankstop 24h,Calw,75365,diesel,Diesel,87.241,94.821,94.463,72.44,2.159,6.0,1.0,11.0,11.0,12.0,12.0,1
17,ed6f7afb-4b5c-4c38-90b6-6f04e58b2124,Dittus Brennstoffe oHG,Tankstop 24h,Calw,75365,e10,E10,87.203,95.214,95.443,70.953,2.089,5.0,1.0,10.0,10.0,10.0,10.0,1
18,747e8bd0-dd43-4de9-845b-12ad58851e94,24h Tankstelle - Autohaus Bopp,Freie Tankstelle,Schechingen,73579,e10,E10,86.762,92.845,88.53,78.91,2.109,8.0,1.0,7.0,8.0,12.0,12.0,1
19,2687ccfc-01fc-4869-9afd-50c98c0bc5ea,ENI,AGIP ENI,Messkirch,88605,e10,E10,86.724,91.409,93.792,74.97,2.119,6.0,1.0,7.0,11.0,11.0,11.0,1
20,7e62b039-4e5e-4376-bc65-09ebbbc3dbcd,RAN Station,RAN,Gundelfingen,89423,diesel,Diesel,86.696,84.201,93.023,82.864,2.219,7.0,1.0,14.0,14.0,15.0,15.0,1
21,3a236230-3521-417b-951a-c41863393289,Tankstelle Bad Hönningen,Freie Tankstelle,Bad Hönningen,53557,e10,E10,86.54,88.828,91.881,78.91,2.129,7.0,1.0,10.0,10.0,12.0,12.0,1
22,508b5f83-1d68-4695-9e4c-5bfeac7e13a9,RAN Station,RAN,Kempten,87437,e5,E5,86.512,92.166,88.253,79.116,2.169,8.0,1.0,12.0,12.0,12.0,12.0,1
22,747e8bd0-dd43-4de9-845b-12ad58851e94,24h Tankstelle - Autohaus Bopp,Freie Tankstelle,Schechingen,73579,e5,E5,86.512,92.166,88.253,79.116,2.169,8.0,1.0,7.0,8.0,12.0,12.0,1
24,b1b08b04-3fec-4b85-a29e-c15e1e27863b,NUSSER Mineralöl GmbH,NUSSER,Bogen,94327,e10,E10,86.41,83.156,97.164,78.91,2.139,4.0,1.0,12.0,12.0,12.0,12.0,1
25,2687ccfc-01fc-4869-9afd-50c98c0bc5ea,ENI,AGIP ENI,Messkirch,88605,e5,E5,86.328,90.095,93.675,75.215,2.179,6.0,1.0,7.0,11.0,11.0,11.0,1
26,a94cea30-721e-46fc-91ce-54c4193b91d1,Gerhard Bellinger,ED,Müschenbach,57629,e10,E10,86.298,94.15,93.792,70.953,2.099,6.0,1.0,10.0,10.0,10.0,10.0,1
27,3abdb63a-4f48-4536-bea3-68a201069d0b,Tankstelle am Alb-Donau-Center,Alb-Donau-Center,Ehingen,89584,e5,E5,86.246,92.166,95.331,71.241,2.169,5.0,1.0,10.0,10.0,10.0,11.0,1
28,0d11f702-2946-4c98-8508-fbd795aec4b4,TS Altenkirchen,AMB,Altenkirchen,57610,diesel,Diesel,86.197,92.466,86.461,79.665,2.179,9.0,1.0,13.0,13.0,14.0,15.0,1
28,7f0e4d9f-120c-454f-b8bc-b48ed6a9f1fa,TS Altenkirchen,A Energie,Altenkirchen,57610,diesel,Diesel,86.197,92.466,86.461,79.665,2.179,9.0,1.0,13.0,13.0,14.0,15.0,1
30,a94cea30-721e-46fc-91ce-54c4193b91d1,Gerhard Bellinger,ED,Müschenbach,57629,e5,E5,86.175,93.61,93.675,71.241,2.159,6.0,1.0,10.0,10.0,10.0,10.0,1
31,3a236230-3521-417b-951a-c41863393289,Tankstelle Bad Hönningen,Freie Tankstelle,Bad Hönningen,53557,e5,E5,86.048,87.345,91.682,79.116,2.189,7.0,1.0,10.0,10.0,12.0,12.0,1
32,389d4a9f-5eae-4b75-b30c-f44be7e0e5ab,Tankstelle am E-Center,E-Center,Weiden,92637,e5,E5,86.007,81.829,93.675,82.516,2.199,6.0,1.0,13.0,13.0,13.0,13.0,1
32,4f9d8688-dd0c-48c2-888c-cd443a5e1ef8,RAN Station,RAN,Deggendorf,94469,e5,E5,86.007,81.829,93.675,82.516,2.199,6.0,1.0,8.0,10.0,13.0,13.0,1
34,b1b08b04-3fec-4b85-a29e-c15e1e27863b,NUSSER Mineralöl GmbH,NUSSER,Bogen,94327,e5,E5,86.005,81.829,97.069,79.116,2.199,4.0,1.0,12.0,12.0,12.0,12.0,1
35,096374a1-4d45-41f7-8031-c54ade53a9ac,BayWa Tankstelle Lauingen,BayWa,Lauingen,89415,e10,E10,85.863,88.828,93.792,74.97,2.129,6.0,1.0,11.0,11.0,11.0,11.0,1
36,ce241717-f30b-1ee7-b6c0-f5f62d298d5d,JET Kirchheimbolanden Woogmorgen 1,JET,Kirchheimbolanden,67292,e10,E10,85.836,83.156,95.443,78.91,2.139,5.0,1.0,12.0,12.0,12.0,12.0,1
37,7e29a50e-5298-4412-84cb-5625180d8f3b,RAN Station,RAN,Burgau,89331,diesel,Diesel,85.8,84.201,93.533,79.665,2.219,6.0,1.0,14.0,14.0,14.0,14.0,1
38,bc731b7d-a3e8-44c0-8c03-0732fca60554,Tankstelle Huddelbusch,bft,Bad Pyrmont,31812,e10,E10,85.794,83.156,91.881,82.344,2.139,7.0,1.0,12.9,12.9,13.0,13.0,1
39,2dad20b3-7875-45b2-b8a8-2ac80bf88055,Globus Handelshof GmbH & Co. KG Betriebsstätte Hockenheim,Globus SB Warenhaus,Hockenheim,68766,e10,E10,85.761,98.4,91.881,67.003,2.029,7.0,1.0,9.0,9.0,9.0,9.0,1
40,ed6f7afb-4b5c-4c38-90b6-6f04e58b2124,Dittus Brennstoffe oHG,Tankstop 24h,Calw,75365,e5,E5,85.706,97.112,96.554,63.453,2.109,4.0,1.0,8.0,8.0,8.0,8.0,1
41,2dad20b3-7875-45b2-b8a8-2ac80bf88055,Globus Handelshof GmbH & Co. KG Betriebsstätte Hockenheim,Globus SB Warenhaus,Hockenheim,68766,e5,E5,85.689,98.128,91.682,67.258,2.089,7.0,1.0,9.0,9.0,9.0,9.0,1
42,7e693db7-2dbe-4cb0-a5ce-5eb19dcc9ab0,RAN Station,RAN,Weingarten,88250,e10,E10,85.643,76.243,93.792,86.894,2.149,6.0,1.0,15.0,15.0,15.0,15.0,1
43,dc290855-1354-4e70-e100-00000630df04,SCHWÄBISCH GMÜND - BUCHSTRAßE,AGIP ENI,Schwäbisch Gmünd,73525,e10,E10,85.497,91.409,90.112,74.97,2.119,7.0,1.0,6.0,7.0,11.0,11.0,1
44,24a7c09e-f47d-43df-8e81-7a9a5eb41195,RAN Station,RAN,Leutkirch,88299,e5,E5,85.486,92.166,81.777,82.516,2.169,9.0,1.0,13.0,13.0,13.0,13.0,1
45,ce241717-f30b-1ee7-b6c0-f5f62d298d5d,JET Kirchheimbolanden Woogmorgen 1,JET,Kirchheimbolanden,67292,e5,E5,85.425,81.829,95.331,79.116,2.199,5.0,1.0,12.0,12.0,12.0,12.0,1
46,51d4b6c4-a095-1aa0-e100-80009459e03a,JET REUTLINGEN KONRAD-ADENAUER-STR. 63,JET,REUTLINGEN,72762,diesel,Diesel,85.161,75.75,93.023,86.711,2.239,7.0,1.0,8.0,17.0,17.0,17.0,1
47,21e409f4-46af-4653-bf65-64a46b57afd8,Tankstelle W. Schnieder GmbH & Co. KG,Unbekannt,Steinfurt,48565,e10,E10,85.097,92.845,95.443,67.003,2.109,5.0,1.0,1.0,9.0,9.0,9.0,1
47,d333c92b-a6dc-42d4-80fe-f9b32d1d3c0c,Eberstadt,BFT,Eberstadt,74246,e10,E10,85.097,92.845,95.443,67.003,2.109,5.0,1.0,5.0,6.0,9.0,9.0,1
47,51d4b59a-a095-1aa0-e100-80009459e03a,JET BENSHEIM DARMSTAEDTER STR. 236,JET,BENSHEIM,64625,e10,E10,85.097,83.156,97.164,74.97,2.139,4.0,1.0,3.0,10.0,11.0,11.0,1
50,dc290855-1354-4e70-e100-00000630df04,SCHWÄBISCH GMÜND - BUCHSTRAßE,AGIP ENI,Schwäbisch Gmünd,73525,e5,E5,85.063,90.095,89.879,75.215,2.179,7.0,1.0,6.0,7.0,11.0,11.0,1
51,3abdb63a-4f48-4536-bea3-68a201069d0b,Tankstelle am Alb-Donau-Center,Alb-Donau-Center,Ehingen,89584,e10,E10,85.042,76.243,93.792,85.092,2.149,6.0,1.0,14.0,14.0,14.0,14.0,1
52,2687ccfc-01fc-4869-9afd-50c98c0bc5ea,ENI,AGIP ENI,Messkirch,88605,diesel,Diesel,85.005,92.466,86.461,76.088,2.179,9.0,1.0,9.0,13.0,13.0,13.0,1
52,747e8bd0-dd43-4de9-845b-12ad58851e94,24h Tankstelle - Autohaus Bopp,Freie Tankstelle,Schechingen,73579,diesel,Diesel,85.005,92.466,86.461,76.088,2.179,9.0,1.0,9.0,10.0,13.0,13.0,1
54,290a6836-2191-4b72-85e3-8b344a3bb3b6,BayWa Tankstelle Röthenbach,BayWa,Röthenbach,88167,e10,E10,84.951,91.409,92.49,70.953,2.119,6.0,1.0,10.0,10.0,10.0,10.0,1
55,21e409f4-46af-4653-bf65-64a46b57afd8,Tankstelle W. Schnieder GmbH & Co. KG,Unbekannt,Steinfurt,48565,e5,E5,84.918,92.166,95.331,67.258,2.169,5.0,1.0,1.0,9.0,9.0,9.0,1
55,d333c92b-a6dc-42d4-80fe-f9b32d1d3c0c,Eberstadt,BFT,Eberstadt,74246,e5,E5,84.918,92.166,95.331,67.258,2.169,5.0,1.0,5.0,6.0,9.0,9.0,1
57,0d11f702-2946-4c98-8508-fbd795aec4b4,TS Altenkirchen,AMB,Altenkirchen,57610,e10,E10,84.825,83.156,82.093,89.227,2.139,9.0,1.0,18.0,18.0,18.0,18.0,1
58,340f434d-d973-48cd-930e-fd36bb46d124,ALLGUTH GmbH  c/o Christian Nicodin,ALLGUTH,Starnberg,82319,e10,E10,84.762,92.845,86.472,74.97,2.109,8.0,1.0,4.0,8.0,11.0,11.0,1
59,51d4b59a-a095-1aa0-e100-80009459e03a,JET BENSHEIM DARMSTAEDTER STR. 236,JET,BENSHEIM,64625,e5,E5,84.704,81.829,97.069,75.215,2.199,4.0,1.0,3.0,10.0,11.0,11.0,1
60,b9cc1156-5c2e-4aef-a722-ec75e000b535,Q1 Tankstelle,Q1,Blomberg,32825,e10,E10,84.637,88.828,90.112,74.97,2.129,7.0,1.0,7.0,9.0,11.0,12.0,1
61,7c6b6799-b879-4cec-8289-b6205aca3efb,AVIA Tankstelle,AVIA,Thannhausen,86470,e10,E10,84.625,95.214,95.443,63.219,2.089,5.0,1.0,5.0,5.0,8.0,8.0,1
62,340f434d-d973-48cd-930e-fd36bb46d124,ALLGUTH GmbH  c/o Christian Nicodin,ALLGUTH,Starnberg,82319,e5,E5,84.52,92.166,86.178,75.215,2.169,8.0,1.0,4.0,8.0,11.0,11.0,1
63,7c6b6799-b879-4cec-8289-b6205aca3efb,AVIA Tankstelle,AVIA,Thannhausen,86470,e5,E5,84.513,94.756,95.331,63.453,2.149,5.0,1.0,5.0,5.0,8.0,8.0,1
64,fc0236ed-fef0-42c4-a4f2-088741bc435f,Q1 Tankstelle,Q1,Schwarzenberg,08340,e5,E5,84.494,72.157,96.096,85.229,2.214,4.0,1.0,12.0,14.0,14.0,14.0,1
65,6f061355-85fe-4bc6-bd19-1806ea980772,MTB Tankstelle,MTB,Flein,74223,e10,E10,84.425,95.85,86.472,70.953,2.079,8.0,1.0,3.0,8.0,10.0,10.0,1
66,cf2beb9e-5c65-432d-b5e3-927c8777ade6,BAD WILDBAD-CALMBACH - KLEINENZT,AGIP ENI,Bad Wildbad-Calmbach,75323,diesel,Diesel,84.414,92.466,95.807,64.97,2.179,5.0,1.0,4.0,8.0,10.0,10.0,1
67,31e8a5a1-b94b-45bf-b6bd-ba140fc3ba3a,BayWa Tankstelle  Burgau,BayWa,Burgau,89331,e5,E5,84.353,92.166,81.777,79.116,2.169,9.0,1.0,12.0,12.0,12.0,12.0,1
68,455c9d26-e741-4403-a736-053f2b1171d6,BK Tankstelle Roman Felker,BK,Deggendorf,94469,e10,E10,84.307,76.243,97.769,78.91,2.149,3.0,1.0,7.0,9.0,12.0,12.0,1
69,0d11f702-2946-4c98-8508-fbd795aec4b4,TS Altenkirchen,AMB,Altenkirchen,57610,e5,E5,84.304,81.829,81.777,89.306,2.199,9.0,1.0,18.0,18.0,18.0,18.0,1
70,6f061355-85fe-4bc6-bd19-1806ea980772,MTB Tankstelle,MTB,Flein,74223,e5,E5,84.295,95.465,86.178,71.241,2.139,8.0,1.0,3.0,8.0,10.0,10.0,1
71,31e8a5a1-b94b-45bf-b6bd-ba140fc3ba3a,BayWa Tankstelle  Burgau,BayWa,Burgau,89331,e10,E10,84.284,91.409,86.472,74.97,2.119,8.0,1.0,11.0,11.0,11.0,11.0,1
72,41c0d832-bb96-425d-b4cc-b544d9d80b43,Daniel Meiser,ED,Wadgassen,66787,diesel,Diesel,84.182,98.31,89.267,64.97,2.099,8.0,1.0,10.0,10.0,10.0,10.0,1
73,2dad20b3-7875-45b2-b8a8-2ac80bf88055,Globus Handelshof GmbH & Co. KG Betriebsstätte Hockenheim,Globus SB Warenhaus,Hockenheim,68766,diesel,Diesel,84.168,97.778,93.023,61.704,2.109,7.0,1.0,9.0,9.0,9.0,9.0,1
74,6b33bb06-24e9-47c7-ba2b-088c8c1963d1,MTB Tankstelle,MTB,Ebersbach a. d. F.,73061,e10,E10,84.158,91.409,90.112,70.953,2.119,7.0,1.0,5.0,7.0,10.0,10.0,1
75,00061429-b40c-4444-8888-acdc00000010,Neukauf Südbayern GmbH,EDEKA,Dorfen,84405,e5,E5,84.152,95.465,81.777,75.215,2.139,9.0,1.0,11.0,11.0,11.0,11.0,1
76,339bc8da-c797-46d7-93f1-fe3461397bf0,BayWa Tankstelle Weiden,BayWa,Weiden,92637,diesel,Diesel,84.102,89.142,94.463,68.7,2.199,6.0,1.0,9.0,10.0,11.0,11.0,1
77,005056a9-4231-1edc-bcbf-cc2024ba0724,ENI,AGIP ENI,Gerstetten,89547,diesel,Diesel,84.047,89.142,90.559,72.44,2.199,8.0,1.0,7.0,12.0,12.0,12.0,1
78,004fd67c-09d8-4d15-bc61-865e62fc19de,STEIGERWALDMOBILE,STEIGERWALDMOBILE,Rauhenebrach,96181,e10,E10,83.97,87.164,91.881,72.864,2.138,7.0,1.0,8.1,10.1,10.1,10.1,1
79,455c9d26-e741-4403-a736-053f2b1171d6,BK Tankstelle Roman Felker,BK,Deggendorf,94469,e5,E5,83.924,74.929,97.726,79.116,2.209,3.0,1.0,7.0,9.0,12.0,12.0,1
80,3e2e3016-00b5-4706-b083-afb2f79dd789,Fricke,Tankpoint,Lügde,32676,e10,E10,83.889,76.243,88.53,86.894,2.149,8.0,1.0,15.0,15.0,15.0,15.0,1
81,a8dd87a4-4bfe-484c-bec9-128e6991bb94,Gerhard Schnitzius,ED,Kröv,54536,diesel,Diesel,83.829,94.821,91.696,64.97,2.159,7.0,1.0,10.0,10.0,10.0,10.0,1
81,e80cc216-f40e-403e-9faf-bf2c3c9c90ab,Martin Burg,ED,Traben-Trarbach,56841,diesel,Diesel,83.829,94.821,91.696,64.97,2.159,7.0,1.0,10.0,10.0,10.0,10.0,1
83,bd41cec8-44b7-4bb5-8aae-12b7f88e0e78,AVIA Tankstelle,AVIA,Neufra,72419,e10,E10,83.815,97.618,93.792,60.034,2.049,6.0,1.0,7.0,7.0,7.0,7.0,1
84,b61ffb4c-3b78-4b14-0245-e56c152066c4,Tankautomat Junkerei,Köhn & Plambeck,Wilhelmshaven,26389,diesel,Diesel,83.785,93.689,81.577,76.088,2.169,10.0,1.0,11.0,13.0,13.0,13.0,1
85,a3ba3fce-9368-4fa9-a74f-ff108206e6b0,SB Tankstelle,Freie Tankstelle,Waldshut-Tiengen,79761,e10,E10,83.772,91.409,96.688,63.219,2.119,4.0,1.0,8.0,8.0,8.0,8.0,1
85,cf2beb9e-5c65-432d-b5e3-927c8777ade6,BAD WILDBAD-CALMBACH - KLEINENZT,AGIP ENI,Bad Wildbad-Calmbach,75323,e10,E10,83.772,91.409,96.688,63.219,2.119,4.0,1.0,3.0,7.0,8.0,8.0,1
87,51d4b5e8-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle PULLACH IM ISARTAL WOLFRATSHAUSER STR. 110,Supermarkt-Tankstelle,PULLACH IM ISARTAL,82049,e10,E10,83.758,83.156,97.164,70.953,2.139,4.0,1.0,5.0,10.0,10.0,10.0,1
88,ac907861-c6ea-4652-b10c-b45306aefad9,Tankinsel 1,DONIG ARAL-Vertrieb,Hofgeismar,34369,diesel,Diesel,83.75,99.65,98.409,53.192,2.059,2.0,1.0,4.0,4.0,4.0,4.0,1
89,62bec543-c472-4e2f-98c9-d230aca97069,MTB Tankstelle,MTB,Bad Liebenzell,75378,e10,E10,83.738,94.15,82.093,74.97,2.099,9.0,1.0,11.0,11.0,11.0,11.0,1
89,6b33bb06-24e9-47c7-ba2b-088c8c1963d1,MTB Tankstelle,MTB,Ebersbach a. d. F.,73061,e5,E5,83.738,90.095,89.879,71.241,2.179,7.0,1.0,5.0,7.0,10.0,10.0,1
91,bd41cec8-44b7-4bb5-8aae-12b7f88e0e78,AVIA Tankstelle,AVIA,Neufra,72419,e5,E5,83.678,97.112,93.675,60.247,2.109,6.0,1.0,7.0,7.0,7.0,7.0,1
91,f36dd3fd-a297-48eb-cf82-81afbcf7cbd5,TS Dornumergrode,EC Tankstelle Rolfes,Dornum,26553,diesel,Diesel,83.678,84.201,81.577,85.255,2.219,10.0,1.0,10.0,16.0,16.0,16.0,1
93,fc0236ed-fef0-42c4-a4f2-088741bc435f,Q1 Tankstelle,Q1,Schwarzenberg,08340,e10,E10,83.649,73.364,92.49,85.092,2.154,6.0,1.0,12.0,14.0,14.0,14.0,1
94,80a2ac2a-5741-4b68-623b-3ca22af8306b,Boxberg,HERM,Boxberg,97944,e10,E10,83.64,92.845,72.983,85.092,2.109,10.0,1.0,10.0,13.0,14.0,14.0,1
95,619a34c3-c2f4-4dbd-9157-5966afb9aed8,SCHARR-Tankstelle,SCHARR-Tankstelle,Stuttgart,70565,e5,E5,83.534,93.61,81.777,75.215,2.159,9.0,1.0,8.0,11.0,11.0,11.0,1
95,62bec543-c472-4e2f-98c9-d230aca97069,MTB Tankstelle,MTB,Bad Liebenzell,75378,e5,E5,83.534,93.61,81.777,75.215,2.159,9.0,1.0,11.0,11.0,11.0,11.0,1
97,25160e6e-02de-4e1e-8e77-7037890fa163,Globus Handelshof St. Wendel GmbH & Co. KG Betriebsstätte St. Wendel,Globus SB Warenhaus,St Wendel,66606,e5,E5,83.533,95.465,91.682,63.453,2.139,7.0,1.0,8.0,8.0,8.0,8.0,1
98,3e46a56d-31aa-4e14-bcb7-3cc6908da2f3,BayWa Tankstelle Langquaid,BayWa,Langquaid,84085,e10,E10,83.532,83.156,88.53,78.91,2.139,8.0,1.0,12.0,12.0,12.0,12.0,1
99,7a46b980-1be1-445b-a5a9-cfb5528e13b2,AGRAVIS Ost GmbH & Co. KG,Raiffeisen,Ausleben,39393,diesel,Diesel,83.521,86.449,88.026,76.088,2.209,8.0,1.0,13.0,13.0,13.0,13.0,1
100,ac907861-c6ea-4652-b10c-b45306aefad9,Tankinsel 1,DONIG ARAL-Vertrieb,Hofgeismar,34369,e5,E5,83.488,99.728,98.677,52.059,2.039,1.0,1.0,2.0,2.0,2.0,2.0,1
101,ac907861-c6ea-4652-b10c-b45306aefad9,Tankinsel 1,DONIG ARAL-Vertrieb,Hofgeismar,34369,e10,E10,83.485,99.814,98.677,51.963,1.979,1.0,1.0,2.0,2.0,2.0,2.0,1
102,15e3172e-6b83-4558-90c8-f59ea7c58142,ALLGUTH GmbH  c/o Tomislav Kukic,ALLGUTH,Landsberg,86899,e10,E10,83.431,91.409,91.881,67.003,2.119,7.0,1.0,1.0,7.0,9.0,9.0,1
102,513bfb0a-dad6-4212-9190-fae5402c3b4f,Globus Handelshof St. Wendel GmbH & Co. KG Betriebsstätte Plattling,Globus SB Warenhaus,Plattling,94447,e10,E10,83.431,91.409,91.881,67.003,2.119,7.0,1.0,6.0,6.0,9.0,9.0,1
104,9bc3a108-864c-4b06-99e9-2f7465aa02be,Q1 Tankstelle,Q1,Schieder,32816,diesel,Diesel,83.42,84.201,97.359,68.7,2.219,4.0,1.0,11.0,11.0,11.0,11.0,1
105,e1b92944-df39-4121-9170-1726390c0ad7,V-Markt Lauingen,V-Markt,Lauingen,89415,diesel,Diesel,83.408,99.896,97.834,52.495,2.029,3.0,1.0,3.0,3.0,3.0,3.0,1
106,3e2e3016-00b5-4706-b083-afb2f79dd789,Fricke,Tankpoint,Lügde,32676,e5,E5,83.4,74.929,88.253,87.018,2.209,8.0,1.0,15.0,15.0,15.0,15.0,1
107,c1f016a8-1396-4e15-bf2e-1da0a8fc3280,V-Markt München Euro-Industriepark,V-Markt,München,80939,diesel,Diesel,83.399,99.875,98.409,51.912,2.038,2.0,1.0,2.0,2.0,2.0,2.0,1
108,51d4b5e8-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle PULLACH IM ISARTAL WOLFRATSHAUSER STR. 110,Supermarkt-Tankstelle,PULLACH IM ISARTAL,82049,e5,E5,83.38,81.829,97.069,71.241,2.199,4.0,1.0,5.0,10.0,10.0,10.0,1
109,dc290855-1354-4e70-e100-00000630df04,SCHWÄBISCH GMÜND - BUCHSTRAßE,AGIP ENI,Schwäbisch Gmünd,73525,diesel,Diesel,83.377,92.466,81.577,76.088,2.179,10.0,1.0,9.0,10.0,13.0,13.0,1
110,ebeaef3a-9165-4b8e-a1f7-7d1794ed4868,V-Markt Schwabmünchen,V-Markt,Schwabmünchen,86830,e10,E10,83.371,99.658,97.769,52.686,1.989,3.0,1.0,3.0,3.0,3.0,3.0,1
111,a3ba3fce-9368-4fa9-a74f-ff108206e6b0,SB Tankstelle,Freie Tankstelle,Waldshut-Tiengen,79761,e5,E5,83.367,90.095,96.554,63.453,2.179,4.0,1.0,8.0,8.0,8.0,8.0,1
111,cf2beb9e-5c65-432d-b5e3-927c8777ade6,BAD WILDBAD-CALMBACH - KLEINENZT,AGIP ENI,Bad Wildbad-Calmbach,75323,e5,E5,83.367,90.095,96.554,63.453,2.179,4.0,1.0,3.0,7.0,8.0,8.0,1
113,9d6dec60-2d02-ecf2-f646-34b9b4203581,SIT Tankstelle,SIT,Dorfen,84405,e5,E5,83.363,99.563,97.726,52.799,2.049,3.0,1.0,3.0,3.0,3.0,3.0,1
113,ebeaef3a-9165-4b8e-a1f7-7d1794ed4868,V-Markt Schwabmünchen,V-Markt,Schwabmünchen,86830,e5,E5,83.363,99.563,97.726,52.799,2.049,3.0,1.0,3.0,3.0,3.0,3.0,1
115,1a5a35de-01fb-482f-8808-90118eddb47a,ENI,AGIP ENI,Rastatt,76437,e10,E10,83.357,91.409,95.443,63.219,2.119,5.0,1.0,3.0,7.0,8.0,8.0,1
115,23a5a995-2a72-4778-a5fa-b2e56632409a,HEILBRONN - GYMNASIUMSTRASSE 71,AGIP ENI,Heilbronn,74072,e10,E10,83.357,91.409,95.443,63.219,2.119,5.0,1.0,2.0,8.0,8.0,8.0,1
115,b4e4b383-1d82-449c-89e4-699e452db7e7,CALW - STUTTGARTER STRASSE,AGIP ENI,Calw,75365,e10,E10,83.357,91.409,95.443,63.219,2.119,5.0,1.0,8.0,8.0,8.0,8.0,1
118,c1f016a8-1396-4e15-bf2e-1da0a8fc3280,V-Markt München Euro-Industriepark,V-Markt,München,80939,e10,E10,83.354,99.866,98.677,51.52,1.978,1.0,1.0,1.0,1.0,1.0,1.0,1
119,c1f016a8-1396-4e15-bf2e-1da0a8fc3280,V-Markt München Euro-Industriepark,V-Markt,München,80939,e5,E5,83.353,99.78,98.677,51.602,2.038,1.0,1.0,1.0,1.0,1.0,1.0,1
120,8185cb0e-6dcf-42ad-a5e9-c63209564c96,V-Markt München Balanstrasse,V-Markt,München,81541,diesel,Diesel,83.343,99.71,98.915,51.404,2.058,1.0,1.0,1.0,1.0,1.0,1.0,1
121,8185cb0e-6dcf-42ad-a5e9-c63209564c96,V-Markt München Balanstrasse,V-Markt,München,81541,e5,E5,83.323,99.689,98.677,51.602,2.048,1.0,1.0,1.0,1.0,1.0,1.0,1
122,8185cb0e-6dcf-42ad-a5e9-c63209564c96,V-Markt München Balanstrasse,V-Markt,München,81541,e10,E10,83.321,99.767,98.677,51.52,1.988,1.0,1.0,1.0,1.0,1.0,1.0,1
