rank,station_uuid,name,brand,city,post_code,street,house_number,fuels,fuel_count,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,avg_noon_price_eur_l,avg_span_cents,median_first_markdown_hour_after_12,avg_markdown_by_16_cents,avg_markdown_by_18_cents,avg_markdown_by_22_cents,min_cycle_days,award_tier,award_label,award_top_percent
7308,e08ae314-0c3a-40c4-abb2-a08ace5e3c96,Esso Tankstelle,ESSO,MILTENBERG,63897,LUITPOLDSTR. 14,,diesel|e10|e5,3,43.454,12.036,34.471,83.857,2.246,13.33,1.0,13.33,14.33,15.33,1,,,
7310,514dae02-925b-4f28-bb54-e5834e3abbdd,Aral Tankstelle,ARAL,Osnabrück,49086,Meller Landstraße,66,diesel|e10|e5,3,43.437,47.183,51.494,31.635,2.222,12.33,3.0,3.67,8.67,10.0,1,,,
7310,de204065-f635-473e-bc82-0e9668a05f43,Aral Tankstelle,ARAL,Osnabrück,49090,Bramscher Straße,267,diesel|e10|e5,3,43.437,47.183,51.494,31.635,2.222,12.33,3.0,3.0,8.67,9.0,1,,,
7312,785cef58-0618-4c59-9b76-fbd95f7c5abc,Esso Tankstelle,ESSO,HOLLFELD,96142,KULMBACHER STR. 5,,diesel|e10|e5,3,43.433,12.036,29.932,88.33,2.246,13.67,1.0,17.0,17.33,17.33,1,,,
7312,b5346d7e-6911-4321-8cb6-a1a4e345f82a,Esso Tankstelle,ESSO,BIRKENFELD,55765,AM ZIMMERBACH 3,,diesel|e10|e5,3,43.433,12.036,29.932,88.33,2.246,13.67,1.0,17.33,17.33,17.33,1,,,
7312,f42c92e4-a59e-4e28-9dc9-bbbed512af6d,Esso Tankstelle,ESSO,HASSMERSHEIM,74855,THEODOR-HEUSS-STR. 53,,diesel|e10|e5,3,43.433,12.036,29.932,88.33,2.246,13.67,1.0,16.67,17.33,17.33,1,,,
7315,5de4b27f-13d6-4f9a-a744-a20285694a59,Access Stockelsdorf,Access,Stockelsdorf,23617,Segeberger Str.,55A,diesel|e10|e5,3,43.432,58.777,35.179,36.342,2.216,14.0,3.0,5.0,8.33,13.33,1,,,
7316,e68bfee6-d37a-480a-9db5-4298cf9f00dd,Mark Hölker,Westfalen,Dülmen,48249,Rekener Str.,100,diesel|e10|e5,3,43.425,30.693,19.287,80.297,2.232,14.67,1.0,6.33,13.0,13.0,1,,,
7317,00061699-0069-4444-8888-acdc00000069,Calpam Tankstelle,Calpam,Sulzbach,63834,Bahnhofstrasse,66,diesel|e10|e5,3,43.414,29.722,15.994,84.526,2.236,15.0,1.0,9.67,14.67,16.67,1,,,
7318,905fa9be-2a58-4b55-b285-21c54eefb246,Shell Grasberg Woerpedorfer Str. 16,Shell,Grasberg,28879,Woerpedorfer Str.,16,diesel|e10|e5,3,43.407,25.834,80.676,23.71,2.236,9.33,3.0,4.67,5.67,9.0,1,,,
