rank,station_uuid,name,brand,city,post_code,street,house_number,fuels,fuel_count,customer_friendliness_score,price_level_score,stability_score,markdown_speed_score,avg_noon_price_eur_l,avg_span_cents,median_first_markdown_hour_after_12,avg_markdown_by_16_cents,avg_markdown_by_18_cents,avg_markdown_by_22_cents,min_cycle_days,award_tier,award_label,award_top_percent
1,7a5496dd-4710-4dc2-84e2-7a803cea2799,Pelleter GmbH,Bft,Rastatt,76437,Woogseestr.,1,diesel|e10|e5,3,89.524,85.362,97.618,85.592,2.176,3.33,1.0,15.0,15.0,15.0,1,gold,Gold,2.0
2,bc731b7d-a3e8-44c0-8c03-0732fca60554,Tankstelle Huddelbusch,bft,Bad Pyrmont,31812,Bahnhofstr.,64,diesel|e10|e5,3,88.062,90.617,91.753,81.817,2.149,7.0,1.0,13.63,13.67,13.67,1,gold,Gold,2.0
3,8d7ce9eb-ff7c-4a99-97ba-64bcbc6c71db,TS Weyersbusch,A Energie,Weyerbusch,57635,Frankfurter Straße,7,diesel|e10|e5,3,87.752,85.817,91.374,86.066,2.172,7.33,1.0,16.33,16.67,17.0,1,gold,Gold,2.0
4,7f0e4d9f-120c-454f-b8bc-b48ed6a9f1fa,TS Altenkirchen,A Energie,Altenkirchen,57610,Philipp - Reis - Straße,2,diesel|e10|e5,3,87.297,85.817,90.008,86.066,2.172,7.67,1.0,16.33,16.67,17.0,1,gold,Gold,2.0
5,ed6f7afb-4b5c-4c38-90b6-6f04e58b2124,Dittus Brennstoffe oHG,Tankstop 24h,Calw,75365,Schützenstraße,6,diesel|e10|e5,3,86.717,95.716,95.487,68.949,2.119,5.0,1.0,9.67,10.0,10.0,1,gold,Gold,2.0
6,747e8bd0-dd43-4de9-845b-12ad58851e94,24h Tankstelle - Autohaus Bopp,Freie Tankstelle,Schechingen,73579,Leinweiler Straße,15,diesel|e10|e5,3,86.093,92.492,87.748,78.038,2.152,8.33,1.0,8.67,12.33,12.33,1,gold,Gold,2.0
7,2687ccfc-01fc-4869-9afd-50c98c0bc5ea,ENI,AGIP ENI,Messkirch,88605,Mengener Str.,37,diesel|e10|e5,3,86.019,91.323,91.309,75.424,2.159,7.0,1.0,11.67,11.67,11.67,1,gold,Gold,2.0
8,fc0236ed-fef0-42c4-a4f2-088741bc435f,Q1 Tankstelle,Q1,Schwarzenberg,08340,Straße der Einheit,126,diesel|e10|e5,3,85.588,76.895,95.473,84.395,2.194,4.33,1.0,14.33,14.33,14.33,1,gold,Gold,2.0
9,b7a1071e-04e9-456e-88fc-23056d082de3,RAN Station,RAN,Ochsenhausen,88416,Biberacher Str.,7,diesel|e10|e5,3,85.414,84.709,96.733,74.802,2.179,3.67,1.0,10.67,11.0,11.0,1,gold,Gold,2.0
10,7e693db7-2dbe-4cb0-a5ce-5eb19dcc9ab0,RAN Station,RAN,Weingarten,88250,Abt-Hyller-Str.,71,diesel|e10|e5,3,85.22,86.958,96.232,72.471,2.166,4.33,1.0,10.67,10.67,10.67,1,gold,Gold,2.0
11,2dad20b3-7875-45b2-b8a8-2ac80bf88055,Globus Handelshof GmbH & Co. KG Betriebsstätte Hockenheim,Globus SB Warenhaus,Hockenheim,68766,Speyerer Str.,1,diesel|e10|e5,3,85.206,98.102,92.195,65.322,2.076,7.0,1.0,9.0,9.0,9.0,1,gold,Gold,2.0
12,0d11f702-2946-4c98-8508-fbd795aec4b4,TS Altenkirchen,AMB,Altenkirchen,57610,Koelner Strasse,45,diesel|e10|e5,3,85.109,85.817,83.444,86.066,2.172,9.0,1.0,16.33,16.67,17.0,1,gold,Gold,2.0
13,b1b08b04-3fec-4b85-a29e-c15e1e27863b,NUSSER Mineralöl GmbH,NUSSER,Bogen,94327,Bayerwaldstr.,12-15,diesel|e10|e5,3,84.853,85.817,97.632,71.11,2.172,3.33,1.0,10.0,10.0,10.0,1,gold,Gold,2.0
14,dc290855-1354-4e70-e100-00000630df04,SCHWÄBISCH GMÜND - BUCHSTRAßE,AGIP ENI,Schwäbisch Gmünd,73525,Buchstraße,200,diesel|e10|e5,3,84.646,91.323,87.189,75.424,2.159,8.0,1.0,8.0,11.67,11.67,1,gold,Gold,2.0
15,a94cea30-721e-46fc-91ce-54c4193b91d1,Gerhard Bellinger,ED,Müschenbach,57629,Kölner Straße,8,diesel|e10|e5,3,84.587,94.194,85.615,73.953,2.139,8.0,1.0,11.0,11.33,11.67,1,gold,Gold,2.0
16,3abdb63a-4f48-4536-bea3-68a201069d0b,Tankstelle am Alb-Donau-Center,Alb-Donau-Center,Ehingen,89584,Biberacher Str.,69,diesel|e10|e5,3,84.531,86.958,95.539,71.097,2.166,4.67,1.0,9.0,10.33,10.67,1,gold,Gold,2.0
17,3a236230-3521-417b-951a-c41863393289,Tankstelle Bad Hönningen,Freie Tankstelle,Bad Hönningen,53557,Hauptstr.,37,diesel|e10|e5,3,84.097,87.541,93.641,71.11,2.176,6.0,1.0,8.67,10.0,10.67,1,gold,Gold,2.0
18,ce241717-f30b-1ee7-b6c0-f5f62d298d5d,JET Kirchheimbolanden Woogmorgen 1,JET,Kirchheimbolanden,67292,Woogmorgen,1,diesel|e10|e5,3,83.852,80.245,95.736,75.575,2.192,5.0,1.0,11.67,11.67,11.67,1,gold,Gold,2.0
19,cf2beb9e-5c65-432d-b5e3-927c8777ade6,BAD WILDBAD-CALMBACH - KLEINENZT,AGIP ENI,Bad Wildbad-Calmbach,75323,Kleinenztalstrasse,39,diesel|e10|e5,3,83.851,91.323,96.35,63.881,2.159,4.33,1.0,7.33,8.67,8.67,1,gold,Gold,2.0
20,ac907861-c6ea-4652-b10c-b45306aefad9,Tankinsel 1,DONIG ARAL-Vertrieb,Hofgeismar,34369,Max-Eyth-Straße,4-8,diesel|e10|e5,3,83.574,99.731,98.588,52.405,2.026,1.33,1.0,2.67,2.67,2.67,1,gold,Gold,2.0
21,21e409f4-46af-4653-bf65-64a46b57afd8,Tankstelle W. Schnieder GmbH & Co. KG,Unbekannt,Steinfurt,48565,Sonnenschein,65,diesel|e10|e5,3,83.568,92.037,93.347,65.322,2.156,6.0,1.0,9.0,9.0,9.0,1,gold,Gold,2.0
22,7c6b6799-b879-4cec-8289-b6205aca3efb,AVIA Tankstelle,AVIA,Thannhausen,86470,Ursberger Straße,29,diesel|e10|e5,3,83.432,94.93,94.157,61.21,2.132,5.67,1.0,5.33,7.67,8.67,1,gold,Gold,2.0
23,a3ba3fce-9368-4fa9-a74f-ff108206e6b0,SB Tankstelle,Freie Tankstelle,Waldshut-Tiengen,79761,Schaffhauser Strasse,47,diesel|e10|e5,3,83.394,91.323,94.979,63.881,2.159,5.0,1.0,8.33,8.67,8.67,1,gold,Gold,2.0
24,c1f016a8-1396-4e15-bf2e-1da0a8fc3280,V-Markt München Euro-Industriepark,V-Markt,München,80939,Maria-Probst-Straße,6,diesel|e10|e5,3,83.369,99.84,98.588,51.678,2.018,1.33,1.0,1.33,1.33,1.33,1,gold,Gold,2.0
25,8185cb0e-6dcf-42ad-a5e9-c63209564c96,V-Markt München Balanstrasse,V-Markt,München,81541,Balanstr.,50,diesel|e10|e5,3,83.329,99.722,98.756,51.509,2.031,1.0,1.0,1.0,1.0,1.0,1,gold,Gold,2.0
26,ebeaef3a-9165-4b8e-a1f7-7d1794ed4868,V-Markt Schwabmünchen,V-Markt,Schwabmünchen,86830,Gottlieb-Daimler-Str.,6,diesel|e10|e5,3,83.295,99.452,98.137,52.296,2.039,2.33,1.0,2.33,2.33,2.33,1,gold,Gold,2.0
27,288a35bf-32a1-430a-9095-ffd9f0f6980d,V-Markt Neugablonz,V-Markt,Kaufbeuren,87600,Sudetenstr.,50,diesel|e10|e5,3,83.239,99.452,98.588,51.678,2.039,1.33,1.0,1.33,1.33,1.33,1,gold,Gold,2.0
28,06bc950e-f458-4a15-8bf7-64346634f0bd,V-Markt Kaufbeuren,V-Markt,Kaufbeuren,87600,Josef-Landes-Str.,40,diesel|e10|e5,3,83.186,99.559,98.321,51.678,2.032,2.0,1.0,1.33,1.33,1.33,1,gold,Gold,2.0
28,0f553a7a-b6ab-4241-a313-a6cdfd65283f,V-Baumarkt Kaufbeuren,V-Markt,Kaufbeuren,87600,Sudetenstr.,5,diesel|e10|e5,3,83.186,99.559,98.321,51.678,2.032,2.0,1.0,1.33,1.33,1.33,1,gold,Gold,2.0
30,1a5a35de-01fb-482f-8808-90118eddb47a,ENI,AGIP ENI,Rastatt,76437,Richard-Wagner-Ring,26,diesel|e10|e5,3,83.12,91.323,94.157,63.881,2.159,5.67,1.0,8.0,8.67,8.67,1,gold,Gold,2.0
30,b4e4b383-1d82-449c-89e4-699e452db7e7,CALW - STUTTGARTER STRASSE,AGIP ENI,Calw,75365,Stuttgarter Strasse,92,diesel|e10|e5,3,83.12,91.323,94.157,63.881,2.159,5.67,1.0,8.67,8.67,8.67,1,gold,Gold,2.0
32,7180042e-bc3f-42eb-8e9e-37869345b464,V-Markt Bad Wörishofen,V-Markt,Bad Wörishofen,86825,Gottlieb-Daimler-Str.,15,diesel|e10|e5,3,83.037,98.845,98.588,51.678,2.059,1.33,1.0,1.33,1.33,1.33,1,gold,Gold,2.0
33,74498d02-668b-4e62-9f75-cea8db79f46d,V-Markt Rottenburg,V-Markt,Rottenburg a. d. Laaber,84056,Alte Ziegelei,6,diesel|e10|e5,3,83.002,99.36,98.137,51.509,2.042,2.33,1.0,1.0,1.0,1.0,1,gold,Gold,2.0
34,00060438-ab8e-4444-8888-acdc00000001,Rima Tankstelle,Unbekannt,Diedorf-Biburg,86420,Augsburger Str.,20,diesel|e10|e5,3,82.955,87.708,74.769,86.389,2.176,10.33,1.0,12.0,15.33,17.33,1,gold,Gold,2.0
35,393e08f9-4bae-41bf-99f8-986794a34afb,V-Markt Lechbruck,V-Markt,Lechbruck,86983,Geisenmoos,11,diesel|e10|e5,3,82.938,99.36,97.776,51.678,2.042,3.0,1.0,1.33,1.33,1.33,1,gold,Gold,2.0
36,455c9d26-e741-4403-a736-053f2b1171d6,BK Tankstelle Roman Felker,BK,Deggendorf,94469,Hauptstr.,30,diesel|e10|e5,3,82.897,80.105,97.882,70.703,2.186,2.67,1.0,7.67,9.67,9.67,1,gold,Gold,2.0
37,6b33bb06-24e9-47c7-ba2b-088c8c1963d1,MTB Tankstelle,MTB,Ebersbach a. d. F.,73061,Marktstraße,8,diesel|e10|e5,3,82.88,91.731,91.485,65.426,2.156,6.67,1.0,6.33,8.33,8.33,1,gold,Gold,2.0
38,31e8a5a1-b94b-45bf-b6bd-ba140fc3ba3a,BayWa Tankstelle  Burgau,BayWa,Burgau,89331,Am Bahnhof,10,diesel|e10|e5,3,82.814,90.906,83.275,74.262,2.162,9.0,1.0,11.33,11.33,11.33,1,gold,Gold,2.0
39,51d4b5e8-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle PULLACH IM ISARTAL WOLFRATSHAUSER STR. 110,Supermarkt-Tankstelle,PULLACH IM ISARTAL,82049,WOLFRATSHAUSER STR.,110,diesel|e10|e5,3,82.797,82.138,97.197,69.055,2.189,4.0,1.0,9.33,10.0,10.0,1,gold,Gold,2.0
40,d333c92b-a6dc-42d4-80fe-f9b32d1d3c0c,Eberstadt,BFT,Eberstadt,74246,Weinsberger Str.,10,diesel|e10|e5,3,82.774,92.492,93.347,62.484,2.152,6.0,1.0,5.33,7.33,7.33,1,gold,Gold,2.0
41,dfc38c4b-836c-7552-818f-a80efb2d1d16,Q1 Tankstelle,Q1,Pfeffenhausen,84076,Rottenburger Str.,42,diesel|e10|e5,3,82.767,94.015,93.436,60.851,2.139,5.67,1.0,7.33,7.33,7.33,1,gold,Gold,2.0
42,41c0d832-bb96-425d-b4cc-b544d9d80b43,Daniel Meiser,ED,Wadgassen,66787,Lindenstraße,59,diesel|e10|e5,3,82.738,97.343,92.245,58.628,2.092,6.67,1.0,6.67,6.67,6.67,1,gold,Gold,2.0
43,51d4b59a-a095-1aa0-e100-80009459e03a,JET BENSHEIM DARMSTAEDTER STR. 236,JET,BENSHEIM,64625,DARMSTAEDTER STR.,236,diesel|e10|e5,3,82.597,80.245,96.918,70.63,2.192,4.0,1.0,9.67,10.33,10.33,1,gold,Gold,2.0
44,50eb9f5f-ae38-446f-be33-e1b7ff24b51c,AVIA Tankstelle,AVIA,Lauingen,89415,Gundelfinger Str.,36,diesel|e10|e5,3,82.533,96.419,94.801,56.381,2.109,5.33,1.0,4.67,5.67,5.67,1,gold,Gold,2.0
44,813e5499-ffe8-45dc-b13b-c4da58198eaa,AVIA Tankstelle,AVIA,Sontheim an der Brenz,89567,Brenzer Straße,35,diesel|e10|e5,3,82.533,96.419,94.801,56.381,2.109,5.33,1.0,4.67,5.67,5.67,1,gold,Gold,2.0
46,9bc3a108-864c-4b06-99e9-2f7465aa02be,Q1 Tankstelle,Q1,Schieder,32816,Schwalenberger Straße,21,diesel|e10|e5,3,82.49,89.74,93.985,63.746,2.166,4.67,1.0,8.0,8.33,9.0,1,gold,Gold,2.0
47,23a5a995-2a72-4778-a5fa-b2e56632409a,HEILBRONN - GYMNASIUMSTRASSE 71,AGIP ENI,Heilbronn,74072,Gymnasiumstrasse,71,diesel|e10|e5,3,82.463,91.323,94.157,61.91,2.159,5.67,1.0,8.0,8.0,8.0,1,gold,Gold,2.0
48,6f061355-85fe-4bc6-bd19-1806ea980772,MTB Tankstelle,MTB,Flein,74223,Horkheimer Straße,44,diesel|e10|e5,3,82.442,94.594,87.306,65.426,2.132,8.0,1.0,6.67,8.33,8.33,1,gold,Gold,2.0
49,e3113082-948e-4ab4-83eb-039121d5c21f,AVIA Tankstelle,AVIA,Immenstadt,87509,Kemptener Str.,53,diesel|e10|e5,3,82.339,95.001,93.977,58.039,2.129,6.0,1.0,6.67,6.67,6.67,1,gold,Gold,2.0
50,00061467-0010-4444-8888-acdcffffffff,Kloiber GmbH,BFT-Tankstelle Kloiber GmbH,Petershausen,85238,Gewerbering,28,diesel|e10|e5,3,82.318,95.495,99.481,51.978,2.122,0.0,1.0,2.0,2.0,2.0,1,gold,Gold,2.0
51,bbbfc7ea-1032-4fbe-962c-7624f6edfc94,Karl-Heinz Zimmer,ED,Lebach-Thalexweiler,66822,Schaumbergstraße,170,diesel|e10|e5,3,82.309,97.343,92.245,57.339,2.092,6.67,1.0,6.33,6.33,6.33,1,gold,Gold,2.0
52,00061555-0001-4444-8888-acdc00000001,SI-Automobil-Service-Center GmbH,ST2 Tankstelle,Vierkirchen,85256,Indersdorferstraße,68,diesel|e10|e5,3,82.259,93.662,99.481,53.633,2.142,0.0,1.0,4.0,4.0,4.0,1,gold,Gold,2.0
53,cd8ba6a6-8a67-1ee7-9fdb-022f678d432f,JET CALW STUTTGARTER STR. 92 - 1,JET,CALW,75365,STUTTGARTER STR.,92 - 1,diesel|e10|e5,3,82.221,80.245,81.224,85.192,2.192,9.0,1.0,14.33,14.67,14.67,1,gold,Gold,2.0
54,004fd67c-09d8-4d15-bc61-865e62fc19de,STEIGERWALDMOBILE,STEIGERWALDMOBILE,Rauhenebrach,96181,Hauptstr.,31,diesel|e10|e5,3,82.157,86.075,92.675,67.721,2.185,6.67,1.0,9.37,9.37,9.37,1,gold,Gold,2.0
55,3e2e3016-00b5-4706-b083-afb2f79dd789,Fricke,Tankpoint,Lügde,32676,Pyrmonter Str.,53,diesel|e10|e5,3,82.141,72.533,86.12,87.769,2.202,8.67,1.0,17.33,17.33,17.33,1,gold,Gold,2.0
56,290a6836-2191-4b72-85e3-8b344a3bb3b6,BayWa Tankstelle Röthenbach,BayWa,Röthenbach,88167,Oberhäuser,1,diesel|e10|e5,3,82.09,92.877,87.965,65.426,2.149,7.33,1.0,8.0,8.33,8.33,1,gold,Gold,2.0
57,4a1aeefe-c3f4-4106-9495-525a3c335dbe,ALFDORF - HAUPTSTRASSE 119/121,AGIP ENI,Alfdorf,73553,Hauptstrasse,119/121,diesel|e10|e5,3,82.049,91.323,90.943,63.881,2.159,7.33,1.0,7.0,8.67,8.67,1,gold,Gold,2.0
58,9f32a2f0-7ebc-4dcc-b8e3-48640824b30b,ALLGUTH GmbH  c/o Buket Altinay,ALLGUTH,München,80997,Am Neubruch,7,diesel|e10|e5,3,81.998,86.92,86.111,72.962,2.172,8.0,1.0,9.33,11.0,11.0,1,gold,Gold,2.0
59,5ee86c30-2760-4a35-b582-f492cb6fee82,Nesla Sahin,ED,Diez,65582,Limburger Straße,108,diesel|e10|e5,3,81.933,94.194,90.943,60.662,2.139,7.33,1.0,6.67,7.67,7.67,1,gold,Gold,2.0
59,96524926-a2c7-41fd-9f5b-aba435d5d783,Dirk Langshausen,ED,Limburg-Lindenholzhausen,65551,Frankfurter Straße,13,diesel|e10|e5,3,81.933,94.194,90.943,60.662,2.139,7.33,1.0,6.67,7.67,7.67,1,gold,Gold,2.0
59,d0213509-a3ce-4fa1-af25-8a45ba7758e7,Alfred Kremer GmbH,ED,Niederbrechen,65611,Limburger Straße,108,diesel|e10|e5,3,81.933,94.194,90.943,60.662,2.139,7.33,1.0,6.67,7.67,7.67,1,gold,Gold,2.0
62,320f395d-352f-3331-e100-00000630df04,ENI,AGIP ENI,Weinstadt,71384,Schorndorfer Str.,17,diesel|e10|e5,3,81.921,91.323,97.101,57.339,2.159,3.67,1.0,5.0,6.33,6.33,1,gold,Gold,2.0
63,00061429-b40c-4444-8888-acdc00000010,Neukauf Südbayern GmbH,EDEKA,Dorfen,84405,Bahnhofstraße,53,diesel|e10|e5,3,81.905,91.586,85.631,68.496,2.152,8.33,1.0,9.33,9.33,9.33,1,gold,Gold,2.0
64,ba10c89e-d2f8-46d9-8ec5-6060bc32e89a,Globus Handelshof St. Wendel GmbH & Co. KG Betriebsstätte Grünstadt,Globus SB Warenhaus,Grünstadt,67269,Daimlerstr.,23,diesel|e10|e5,3,81.866,93.935,89.753,61.91,2.145,7.33,1.0,5.67,8.0,8.0,1,gold,Gold,2.0
65,b9cc1156-5c2e-4aef-a722-ec75e000b535,Q1 Tankstelle,Q1,Blomberg,32825,Lemgoer Straße,2,diesel|e10|e5,3,81.85,87.956,93.71,63.883,2.172,5.67,1.0,6.33,8.33,9.33,1,gold,Gold,2.0
66,fa4c25bf-81e9-4eb4-b259-15d68acfc85f,BayWa Tankstelle Munderkingen,BayWa,Munderkingen,89597,Bahnhofstraße,26,diesel|e10|e5,3,81.836,95.001,73.685,76.822,2.129,10.33,1.0,11.67,12.0,12.0,1,gold,Gold,2.0
67,096374a1-4d45-41f7-8031-c54ade53a9ac,BayWa Tankstelle Lauingen,BayWa,Lauingen,89415,Riedhauser Str.,66,diesel|e10|e5,3,81.768,89.148,84.228,71.93,2.169,8.33,1.0,10.33,10.67,10.67,1,gold,Gold,2.0
68,62bec543-c472-4e2f-98c9-d230aca97069,MTB Tankstelle,MTB,Bad Liebenzell,75378,Pforzheimer Straße,19,diesel|e10|e5,3,81.724,94.547,85.631,64.994,2.136,8.33,1.0,9.0,10.33,10.33,1,gold,Gold,2.0
69,51d4b6c4-a095-1aa0-e100-80009459e03a,JET REUTLINGEN KONRAD-ADENAUER-STR. 63,JET,REUTLINGEN,72762,KONRAD-ADENAUER-STR.,63,diesel|e10|e5,3,81.683,75.641,95.752,73.657,2.199,5.0,1.0,10.33,11.67,11.67,1,gold,Gold,2.0
70,340f434d-d973-48cd-930e-fd36bb46d124,ALLGUTH GmbH  c/o Christian Nicodin,ALLGUTH,Starnberg,82319,Leutstettener Str.,17,diesel|e10|e5,3,81.619,86.92,87.306,70.63,2.172,8.0,1.0,8.0,10.33,10.33,1,gold,Gold,2.0
71,dc6b150f-9a37-48be-b42c-fb86e9b67767,BIRKENFELD - FRIEDRICH-AUGUST-STR.,AGIP ENI,Birkenfeld,55765,Friedrich-August-Str.,22,diesel|e10|e5,3,81.599,91.323,96.817,56.657,2.159,3.67,1.0,6.0,6.0,6.0,1,gold,Gold,2.0
72,109195b4-ac2f-4120-ae47-199386e700f6,AVIA XPress,AVIA XPress,Weinstadt-Strümpfelbach,71384,Hauptstraße,110,diesel|e10|e5,3,81.597,95.001,97.493,52.296,2.129,3.0,1.0,1.0,2.33,2.33,1,gold,Gold,2.0
72,99000348-efdb-48ed-8294-330c4a779ce3,AVIA XPress,AVIA XPress,Weinstadt-Schnait,71384,Altenbergstraße,1,diesel|e10|e5,3,81.597,95.001,97.493,52.296,2.129,3.0,1.0,1.0,2.33,2.33,1,gold,Gold,2.0
74,513bfb0a-dad6-4212-9190-fae5402c3b4f,Globus Handelshof St. Wendel GmbH & Co. KG Betriebsstätte Plattling,Globus SB Warenhaus,Plattling,94447,Dr. Walter Bruch Straße,1,diesel|e10|e5,3,81.592,89.318,92.675,62.782,2.169,6.67,1.0,5.67,7.67,7.67,1,gold,Gold,2.0
75,7f6ec850-f413-46b9-992d-0cb2671e25dd,tankpoint Tankstelle,tankpoint,Ochsenhausen,88416,Biberacher Straße,8,diesel|e10|e5,3,81.587,92.953,97.338,54.469,2.149,3.33,1.0,4.0,4.33,4.33,1,gold,Gold,2.0
76,78659dd8-fb69-4fc4-a812-4276b130f361,Autohaus Schwarzkopf,Schwarzkopf,Amberg,92224,Bayreuther Str.,39 - 41,diesel|e10|e5,3,81.489,95.921,89.213,59.333,2.119,6.67,1.0,6.67,6.67,6.67,1,gold,Gold,2.0
77,db865a1b-a78f-4971-955a-9a5abaa6bf46,ENGSTINGEN - BERNLOCHER STR. 17,AGIP ENI,Engstingen,72829,Bernlocher Str.,17,diesel|e10|e5,3,81.483,91.323,93.347,59.78,2.159,6.0,1.0,5.0,7.33,7.33,1,gold,Gold,2.0
78,3e46a56d-31aa-4e14-bcb7-3cc6908da2f3,BayWa Tankstelle Langquaid,BayWa,Langquaid,84085,Lenbachstraße,1,diesel|e10|e5,3,81.449,78.976,87.334,78.038,2.192,8.0,1.0,12.33,12.33,12.33,1,gold,Gold,2.0
79,f721897d-2719-4747-a5e9-b4358d755587,Freie Tankstelle,Freie Tankstelle,Uhingen,73066,Stuttgarter Str.,74,diesel|e10|e5,3,81.436,95.425,91.485,57.398,2.126,6.67,1.0,3.33,5.33,5.33,1,gold,Gold,2.0
80,5f1d9373-3ea5-45fb-970b-100ea8fdaedd,ESSLINGEN - OBERTUERKHEIMER STR.21,AGIP ENI,Esslingen,73733,Obertuerkheimer Str.,21,diesel|e10|e5,3,81.41,91.323,92.245,60.662,2.159,6.67,1.0,5.0,7.67,8.33,1,gold,Gold,2.0
81,357e40bf-4fdd-47af-8580-523a8b1c4197,AVIA Tankstelle,AVIA,Unterthingau,87647,Kemptener Straße,32,diesel|e10|e5,3,81.373,92.953,92.245,58.921,2.149,6.67,1.0,6.67,7.0,7.0,1,gold,Gold,2.0
82,33916ff2-416c-4f24-a6de-0b4e3d80e41a,AVIA Tankstelle,AVIA,Waiblingen-Beinstein,71334,Endersbacher Straße,45,diesel|e10|e5,3,81.311,94.145,97.493,52.296,2.139,3.0,1.0,1.0,2.33,2.33,1,gold,Gold,2.0
83,7ba7865e-0f04-4c1b-a1c8-b2e06413a193,BIRKENHEIDE - MANNHEIMER STR. 2,AGIP ENI,Birkenheide,67134,Mannheimer Str.,2,diesel|e10|e5,3,81.289,91.323,89.753,62.792,2.159,7.33,1.0,8.33,8.33,8.33,1,gold,Gold,2.0
84,24375eb3-b279-43bc-932d-7ac807c75cbd,PLUEDERHAUSEN - JAKOB-SCHUELE-STR.,AGIP ENI,Plüderhausen,73655,Jakob-Schüle-Str.,52,diesel|e10|e5,3,81.277,91.323,97.101,55.406,2.159,3.67,1.0,3.67,5.33,6.0,1,gold,Gold,2.0
85,45701dbf-0bc9-4f05-b45b-9a4a87b095f9,MTB Tankstelle,MTB,Zell unter Aichelberg,73119,Göppinger Straße,7,diesel|e10|e5,3,81.274,95.284,88.817,59.722,2.129,7.67,1.0,4.33,6.33,7.0,1,gold,Gold,2.0
86,202da2a5-dfb5-4f7f-89dc-ef5b92cdb162,AVIA Tankstelle,AVIA,Rettenberg,87549,Burgberger Straße,26,diesel|e10|e5,3,81.201,95.001,90.562,58.039,2.129,7.0,1.0,6.67,6.67,6.67,1,gold,Gold,2.0
87,725ed905-5ed5-4b6e-8273-e6276d2c958e,UEBERLINGEN - LIPPERTSREUTER STRASS,AGIP ENI,Ueberlingen,88662,Lippertsreuter Strasse,13,diesel|e10|e5,3,81.155,91.323,91.485,60.659,2.159,6.67,1.0,7.33,7.33,7.33,1,gold,Gold,2.0
87,beb4aa5c-fbff-9f15-e100-00000630df04,ENI,AGIP ENI,Owingen,88696,Henkerberg,2,diesel|e10|e5,3,81.155,91.323,91.485,60.659,2.159,6.67,1.0,7.33,7.33,7.33,1,gold,Gold,2.0
89,387a072a-2b16-4577-ab66-98be0b18f439,Clever Tanken GmbH,ED,Schmelz,66839,Franz-Birringer-Str.,2,diesel|e10|e5,3,81.134,97.343,90.652,55.406,2.092,7.0,1.0,5.33,5.33,5.33,1,gold,Gold,2.0
90,853be17b-6268-4064-9b9e-fe7f15cf90d0,BK Tankstelle Kurt Kreidemeier,BK,Immenstadt,87509,An der Bundesstr.,6,diesel|e10|e5,3,81.125,88.438,85.189,69.748,2.172,8.33,1.0,10.0,10.0,10.0,1,gold,Gold,2.0
91,fded1a59-8498-895d-e100-00000630df04,MAGSTADT,AGIP ENI,Magstadt,71106,Aichern,3,diesel|e10|e5,3,81.098,91.323,91.309,60.662,2.159,7.0,1.0,4.67,7.67,7.67,1,gold,Gold,2.0
92,e65124d0-34e6-458d-8ae7-ac7b88831768,Sema Pektas,Esso,Bensheim-Auerbach,64625,Darmstädter Str.,113,diesel|e10|e5,3,81.085,71.157,91.784,80.316,2.202,6.67,1.0,12.33,13.0,13.0,1,gold,Gold,2.0
93,25160e6e-02de-4e1e-8e77-7037890fa163,Globus Handelshof St. Wendel GmbH & Co. KG Betriebsstätte St. Wendel,Globus SB Warenhaus,St Wendel,66606,Dortmunder Str.,1,diesel|e10|e5,3,81.03,96.542,86.402,60.148,2.106,8.33,1.0,7.33,7.33,7.33,1,gold,Gold,2.0
94,e7d3f5d2-0245-4b2f-b7ee-64fdf4579454,Tihen Bawinkel,Freie Tankstelle,Bawinkel,49844,Oorstraße,1,diesel|e10|e5,3,80.951,96.913,88.115,57.824,2.099,7.67,1.0,6.0,6.0,6.0,1,gold,Gold,2.0
95,0195d7a3-4187-4bbd-be92-91e5f817ebfe,AVIA XPress,Avia XPress,Buchen,74722,Walldürner Str.,30,diesel|e10|e5,3,80.938,92.492,93.534,56.787,2.152,5.67,1.0,5.0,6.0,6.0,1,gold,Gold,2.0
96,c297ccde-feb2-4a70-bfec-89af257a251e,MTB Tankstelle,MTB,Winnenden,71364,Wiesenstraße,2,e10|e5,2,80.892,90.752,91.781,60.141,2.149,7.0,1.0,6.0,7.0,9.0,1,gold,Gold,2.0
97,6ad4dff8-ce42-4db1-8334-151b4ba000a2,Hänßel Mineralöl GmbH,Unbekannt,Rheinmünster,77836,Victoria Boulevard B,126,diesel|e10|e5,3,80.848,93.381,86.37,62.792,2.146,8.33,1.0,3.33,8.33,8.33,1,gold,Gold,2.0
98,b9ecbdc0-5809-455c-bbb5-2c8f2d6a9929,AVIA Tankstelle,AVIA,Horb am Neckar,72160,Dammstraße,21,diesel|e10|e5,3,80.84,93.409,95.903,53.206,2.146,4.67,1.0,1.0,3.33,3.67,1,gold,Gold,2.0
99,3e385667-56a9-46b4-96de-2adcfd7b5655,BFT Automatentankstelle Bann,BFT Automatentankstelle,Bann,66851,Haupstraße,125,diesel|e10|e5,3,80.817,87.541,89.486,65.426,2.176,7.0,1.0,5.0,8.33,8.33,1,gold,Gold,2.0
